date,open,high,low,close,volume,marketcap,google_trends,wiki_page_views,twitter_followers_growth,gold_pm,silver,platinum_pm,palladium_pm,oil_price,usd_eur,usd_jpy,usd_gbp,usd_cny,SP500,Dow_Jones,Nasdaq,Russell,FTSE,Nikkei,SSE,VIX,NVIDIA,Google,hash_rate,miners_revenue,avg_block_size,difficulty,est_transc_volume,num_unique_address,BECI
20/6/18,6770.76,6821.56,6611.88,6776.55,3888640000,1.16E+11,6,24720,273,1274.2,16.285,867,972,65.92,1.15779984,0.009146621,1.359200001,0.157810852,2767.320068,24657.80078,7781.509766,1706.98999,7627.399902,22555.42969,2915.730957,12.78999996,262.3099976,1169.839966,39122596.14,13329154.5,0.908624084,5.02E+12,106824.8949,413609,71.12432132
19/6/18,6742.39,6822.5,6709.92,6769.94,4057029888,1.15E+11,6,14829,378,1276.15,16.355,871,982,65.09,1.153399825,0.009146621,1.359200001,0.157810852,2762.590088,24700.21094,7725.589844,1693.449951,7603.899902,22278.48047,2907.822021,13.35000038,260.1700134,1168.060059,40279018.61,13762650.4,0.648707695,4.94E+12,102492.4923,424738,71.12432132
18/6/18,6510.07,6781.14,6446.68,6734.82,4039200000,1.11E+11,7,17193,392,1281.55,16.605,884,986,65.91,1.161299944,0.009146621,1.359200001,0.157810852,2773.75,24987.4707,7747.029785,1692.459961,7631.299805,22680.33008,3021.900879,12.31000042,265.0899963,1173.459961,38559792.21,12686407.9,0.490980268,4.94E+12,66167.69468,326153,71.12432132
17/6/18,6545.53,6589.11,6499.27,6499.27,3104019968,1.12E+11,5,16903,439,1285.25,17.225,898,995,65.01,1.159600019,0.009146621,1.359200001,0.157810852,2779.659912,25090.48047,7746.379883,1683.910034,7633.899902,22851.75,3021.900879,11.97999954,265.2600098,1152.26001,40770226.16,13507060.33,0.473838946,4.94E+12,61035.98133,343364,71.12432132
16/6/18,6455.45,6592.49,6402.29,6550.16,3194170112,1.10E+11,6,11288,207,1285.25,17.225,898,995,65.01,1.159600019,0.009146621,1.359200001,0.157810852,2779.659912,25090.48047,7746.379883,1683.910034,7633.899902,22851.75,3021.900879,11.97999954,265.2600098,1152.26001,37577377.12,12305193.3,0.801346516,4.94E+12,120303.9646,476262,71.12432132
15/6/18,6674.08,6681.08,6433.87,6456.58,3955389952,1.14E+11,7,12701,409,1285.25,17.225,898,995,65.01,1.159600019,0.009146621,1.359200001,0.157810852,2779.659912,25090.48047,7746.379883,1683.910034,7633.899902,22851.75,3021.900879,11.97999954,265.2600098,1152.26001,37577377.12,12712413,0.743882065,4.94E+12,128266.4647,440335,71.12432132
14/6/18,6342.75,6707.14,6334.46,6675.35,5138710016,1.08E+11,8,15097,310,1302.75,17.125,909,1010,66.91,1.172999978,0.009146621,1.359200001,0.157810852,2782.48999,25175.31055,7761.040039,1684.719971,7765.799805,22738.60938,3044.159912,12.11999989,266.9100037,1152.119995,35121339.4,11320892.25,0.913050266,4.94E+12,158822.6451,458586,71.12432132
13/6/18,6596.88,6631.66,6285.63,6349.9,5052349952,1.13E+11,9,18622,317,1296.15,16.905,900,1013,66.63,1.176400065,0.009146621,1.359200001,0.157810852,2775.629883,25201.19922,7695.700195,1676.540039,7703.700195,22966.38086,3049.797119,12.93999958,262.3999939,1134.790039,35612546.94,11844835.52,1.04493149,4.94E+12,125289.9849,447809,71.12432132
12/6/18,6905.82,6907.96,6542.08,6582.36,4654380032,1.18E+11,8,19973,541,1298.65,16.855,907,1025,66.38,1.178799868,0.009146621,1.359200001,0.157810852,2786.850098,25320.73047,7703.790039,1682.300049,7703.799805,22878.34961,3079.802002,12.34000015,262.5799866,1139.319946,34384528.08,12039312.76,0.793075614,4.94E+12,139263.3049,446187,71.12432132
11/6/18,6799.29,6910.18,6706.63,6906.92,4745269760,1.16E+11,10,23809,481,1299.6,16.76,906,1019,66.1,1.17900002,0.009146621,1.359200001,0.157810852,2782,25322.31055,7659.930176,1674.680054,7737.399902,22804.03906,3052.782959,12.35000038,260.6199951,1129.98999,31191679.05,10758310.23,0.759267441,4.94E+12,94045.97769,392108,71.12432132
