WilliamR14,MACD,MACD_signal,MACD_hist,EMA30,Price
-52.240053493814784,8.16597356978508,13.271724452740042,-5.105750882954961,433.1401843834069,433.44
-51.33614627285512,7.5695702698094465,12.131293616153922,-4.5617233463444755,433.1801597989527,430.01
-53.984819734345336,6.742421584417571,11.053519209806652,-4.311097625389081,432.75747182575896,433.09
-48.14041745730552,6.263231912564493,10.09546175035822,-3.8322298377937276,432.8018089156578,431.96
-50.28462998102468,5.726280096582002,9.221625419602976,-3.495345323020974,432.6895677269034,429.11
-55.692599620493304,5.0129841712785606,8.379897169938094,-3.366912998659533,432.21229202998296,458.05
-1.3582342954159037,6.705610051211465,8.045039746192767,-1.3394296949813018,435.65731975931857,453.23
-16.96694070316597,7.570822805561022,7.950196358066418,-0.3793735525053963,438.0003437914094,447.61
-28.344125809435692,7.7140997748598465,7.902977041425104,-0.1888772665652576,439.2816312858882,447.99
-33.61079865016873,7.768757232004361,7.876133079540955,-0.10737584753659402,440.44274711443643,448.43
-32.805429864253405,7.758146895214452,7.852535842675655,-0.09438894746120319,441.5077141658449,435.69
-61.628959276018136,6.645125726558888,7.611053819452302,-0.9659280928934137,440.73201894373227,432.37
-69.1402714932127,5.432529361070237,7.175348927775889,-1.7428195667056512,439.617083084568,430.31
-84.74928552870875,4.256249822740756,6.591529106768862,-2.335279284028106,438.37613867329225,364.33
-100.0,-1.977202804984529,4.877782724418184,-6.854985529402713,428.5033201835199,387.54
-69.79263099426032,-4.986919789042929,2.9048422217259615,-7.891762010768891,423.0415441590506,382.3
-74.64358452138494,-7.70613486442727,0.7826468044953154,-8.488781668922584,417.6093382711772,387.17
-70.13516015552676,-9.360264796828915,-1.2459355157695304,-8.114329281059383,413.55075983502024,380.15
-76.63395667468991,-11.109565857293717,-3.2186615840743675,-7.890904273219349,409.0973251903509,420.23
-39.529716719126085,-9.156231179796976,-4.406175503218889,-4.750055676578087,410.5816818316374,410.26
-48.75948898352159,-8.316823883412951,-5.188305179257702,-3.1285187041552494,410.53879092075243,382.49
-72.34533239747319,-9.779660629739851,-6.1065762693541314,-3.6730843603857197,406.7989521313188,387.49
-65.97389033942561,-10.415448272819447,-6.968350670047195,-3.447097602772252,404.2244251804763,402.97
-49.806788511749346,-9.560006132522005,-7.4866817625421564,-2.073324369979849,404.0571684897461,391.73
-60.52321217969336,-9.677480169240312,-7.924841443881787,-1.7526387253585245,402.41354602444665,392.15
-53.61235675137025,-9.62572928439863,-8.265019011985157,-1.360710272413474,401.04507322118707,394.97
-48.90957785996682,-9.250531533774506,-8.462121516343027,-0.7884100174314792,400.2350634583621,380.29
-66.31718646317186,-10.022208150422045,-8.77413884315883,-1.248069307263215,397.57572166391384,379.47
-65.09380329732801,-10.577997999357592,-9.134910674398583,-1.4430873249590093,395.16162544205866,378.26
-78.58575727181544,-10.98942311747686,-9.505813163014238,-1.4836099544626222,392.90807538311753,368.77
-94.45001671681713,-11.943566180191624,-9.993363766449715,-1.9502024137419092,389.6896653320352,373.06
-87.2785021731862,-12.212782925279328,-10.437247598215638,-1.7755353270636896,387.47237662109717,374.45
-84.95486459378134,-12.173647521285034,-10.784527582829517,-1.3891199384555168,385.7360597382842,369.95
-92.16437402054676,-12.363229213069701,-11.100267908877553,-1.2629613041921477,383.63125177317966,389.59
-46.30782918149473,-10.804146729846082,-11.04104367307126,0.23689694322517774,384.4257515367557,386.55
-47.28953285036221,-9.702026303048683,-10.773240199066745,1.0712138960180617,384.70898466518827,376.52
-72.34574069447918,-9.52809119597896,-10.524210398449188,0.9961192024702292,383.61712004316314,376.62
-69.70436669378896,-9.275257807864762,-10.274419880332303,0.9991620724675414,382.68417070407475,373.45
-75.24752475247524,-9.224345520221277,-10.064405008310098,0.840059488088821,381.45294794353146,376.03
-66.29499840713608,-8.873524263290108,-9.8262288593061,0.9527045960159928,380.72988821772725,381.65
-46.08985024958409,-8.04922243220966,-9.470827573886812,1.4216051416771514,380.85256978869694,379.65
-45.71865443425086,-7.471217038261045,-9.070905466761658,1.5996884285006132,380.692227150204,384.26
-30.908326324642616,-6.565472447124591,-8.569818862834245,2.0043464157096533,381.1679301968435,391.86
-0.0,-5.174755488859546,-7.890806188039305,2.7160506991797586,382.593539503931,407.23
-0.0,-2.800093991770268,-6.872663748785497,4.072569757015229,385.8784009034069,400.18
-24.096385542168658,-1.4700874742015344,-5.792148493868704,4.32206101966717,387.7852807829526,407.49
-6.8273092369477615,0.17182746092157686,-4.599353302910648,4.771180763832225,390.41257667855893,416.32
-9.47635795232517,2.1606573678024006,-3.2473511687680388,5.408008536570439,393.8668997880844,422.37
-6.771124790151081,4.176855643930651,-1.7625098062283007,5.9393654501589515,397.6673131496732,420.79
-9.718336131318743,5.582858787405144,-0.29343608750161176,5.876294874906756,400.7503380630501,437.16
-6.977417486971613,7.926674825313569,1.3505860950614244,6.5760887302521445,405.60495965464344,438.8
-12.308715901530267,9.803491666121431,3.041167209273426,6.762324456848005,410.0309650340243,437.75
-13.705921490352637,11.078450824405422,4.6486239322998255,6.429826892105597,413.7268363628211,420.74
-37.78884737788846,10.594177221073437,5.837734590054548,4.756442631018889,414.66192484777827,424.95
-32.24005582693651,10.42986967178399,6.756161606400436,3.673708065383554,416.0336682014078,424.54
-34.34623813002191,10.149573219528406,7.43484392902603,2.714729290502376,417.1678457745534,432.15
-25.074909320296527,10.421368611983041,8.032148865617433,2.389219746365608,419.1654663379463,432.52
-28.174891146589314,10.545067354083017,8.53473256331055,2.0103347907724665,420.94607082622014,433.5
