Date,hash_rate,avg_block_size,difficulty,num_unique_addr,miners_revenue,est_TXN_vol,num_of_TXN,TXN_per_block,cost_per_TXN,total_TXN_fees,usd_trade_vol
2018-08-05,52051671.9162,0.574082176136,5949437371610.0,416160.0,16381955.16,489889914.247,191657.0,1088.96022727,86.065189847,127920.090499,450885758.335
2018-08-06,47319701.742,0.57810536875,5949437371610.0,374556.0,14016460.0,373567222.216,172181.0,1076.13125,81.9601564862,95521.7039469,444011358.292
2018-08-07,38743005.8012,1.05098670229,5949437371610.0,452409.0,11517945.75,738335124.64,218607.0,1668.75572519,53.2590456155,124854.434863,321607416.453
2018-08-08,44657968.519,1.01645843709,5949437371610.0,477950.0,12988132.875,646148619.517,233045.0,1543.34437086,56.2819517451,128094.569442,367996501.76
2018-08-09,46432457.3343,0.812957789809,5949437371610.0,498557.0,12792695.7482,785753515.086,235311.0,1498.79617834,54.3650562371,133850.661679,717117072.309
2018-08-10,44066472.2472,0.80435566443,5949437371610.0,467196.0,12046723.138,937131001.384,222326.0,1492.12080537,54.1849497493,132734.356705,616864330.662
2018-08-11,52051671.9162,0.792378119318,5949437371610.0,510029.0,14202869.6197,757467749.914,226148.0,1284.93181818,62.8034279307,130581.353015,486037319.608
2018-08-12,53994493.0548,0.611510917647,6197839919510.0,389255.0,13261117.577,507380742.097,192438.0,1131.98823529,68.9111172276,95354.2437038,600288986.875
2018-08-13,49230273.0794,0.584546741935,6389316883510.0,361543.0,12308443.9327,333934427.984,165044.0,1064.8,74.5767427639,80626.3285607,441814690.672
2018-08-14,47642199.7543,0.906496873333,6389316883510.0,459525.0,12027194.9917,836197121.415,222229.0,1481.52666667,54.1207267805,126438.741697,401920311.755
2018-08-15,43195594.4439,1.01179291912,6389316883510.0,514444.0,10446684.9281,1057442607.44,247622.0,1820.75,42.1880322754,160082.678104,663944638.213
2018-08-16,51135961.0696,0.79106715528,6389316883510.0,539382.0,12945905.1935,877651821.244,246066.0,1528.36024845,52.6115155833,141017.885827,702473673.063
2018-08-17,50183117.0745,0.761947316456,6389316883510.0,479346.0,12679218.3411,686851909.768,232335.0,1470.47468354,54.5730016618,152525.610322,608876687.755
2018-08-18,48277429.0843,0.833029453947,6389316883510.0,512304.0,12467282.792,785060819.089,233794.0,1538.11842105,53.3259313414,161172.792024,417505745.426
2018-08-19,50818346.4046,0.590060225,6389316883510.0,399288.0,12979347.0715,372693270.425,190935.0,1193.34375,67.9778305261,105905.404836,366208610.752
